3.83	1.41	0.584	9.2245	11.861	54.674	3.767	29.475	0.093984	0.15278	0.33643	0.13846	0.25784	0.371	0.60762	1.1105	0.47931	0.98247
3.83	2.01	0.584	8.5436	19.594	42.472	4.7563	37.537	0.15831	0.25466	0.24528	0.17064	0.22627	0.63605	0.90805	0.7871	0.60785	0.93443
3.83	2.61	0.584	7.4427	33.908	27.436	5.7725	40.864	0.29665	0.40731	0.15096	0.20707	0.33877	1.084	1.4507	0.55705	0.74721	1.2279
3.83	3.21	0.584	6.4881	51.746	15.527	6.7575	38.153	0.33843	0.6696	0.10041	0.23737	0.32246	1.195	2.1505	0.43946	0.83067	1.1267
3.83	3.81	0.584	5.1455	65.254	9.0789	7.5032	30.237	0.37241	0.86034	0.086611	0.2628	0.30177	1.2865	2.63	0.35268	0.99741	1.2087
3.83	4.41	0.584	4.1526	67.251	5.3925	7.8356	19.627	0.32733	0.88561	0.072815	0.27229	0.21612	1.1931	2.7933	0.35952	1.0432	0.9909
3.83	5.01	0.584	3.5948	57.526	3.9191	7.9651	13.478	0.29364	0.73545	0.068948	0.27163	0.19994	1.2392	2.2965	0.30404	0.95969	0.82398
4.43	5.01	0.584	3.148	67.782	4.546	5.7807	10.859	0.20202	0.8805	0.065652	0.20028	0.24501	0.89436	2.6589	0.26021	0.93695	0.92047
4.43	4.41	0.584	3.7358	79.908	6.408	5.8574	15.038	0.28082	1.0465	0.084968	0.19277	0.18374	1.2141	3.0513	0.33495	0.6418	0.78656
4.43	3.81	0.584	4.5059	77.569	9.7707	5.2803	20.74	0.37214	1.0313	0.068501	0.1725	0.21444	1.2207	3.0937	0.32269	0.6362	0.83523
4.43	3.21	0.584	5.2853	59.825	17.016	4.7738	24.681	0.33812	0.76271	0.10596	0.14936	0.20358	1.1702	2.3604	0.51425	0.542	0.81044
4.43	2.61	0.584	5.9898	40.11	28.226	4.3486	25.825	0.2718	0.5042	0.14144	0.14967	0.21052	0.9592	1.6757	0.50825	0.61387	0.84932
4.43	2.01	0.584	6.7035	22.435	48.732	3.7475	23.785	0.12123	0.30406	0.29288	0.11944	0.23137	0.49213	1.1977	0.95695	0.4435	1.0164
4.43	1.41	0.584	7.1503	13.664	70.371	3.0134	18.8	0.09783	0.18385	0.49179	0.1195	0.19589	0.44284	0.78984	1.5392	0.44888	0.88487
4.43	0.81	0.584	7.0804	8.8718	80.147	2.3203	14.337	0.11936	0.15047	0.62617	0.096623	0.14351	0.50542	0.68989	1.9187	0.43896	0.61878
4.43	0.21	0.584	6.7997	5.3699	72.629	1.5867	9.0377	0.11528	0.11373	0.63084	0.079011	0.1283	0.42918	0.44477	2.1476	0.33583	0.53795
5.03	0.21	0.584	4.7636	5.8008	78.55	0.77625	6.5751	0.12511	0.14389	0.80596	0.063842	0.12791	0.45153	0.59963	2.82	0.35044	0.56828
5.03	0.81	0.584	5.3157	7.9608	85.432	1.1099	9.9279	0.11758	0.16066	0.68205	0.067132	0.1441	0.53621	0.66582	2.0361	0.29689	0.54745
5.03	1.41	0.584	5.8131	12.304	74.018	1.3628	12.959	0.12569	0.19496	0.508	0.072549	0.13075	0.46883	0.80782	1.6106	0.30986	0.55031
5.03	2.61	0.584	4.6381	37.277	26.357	2.858	15.231	0.14556	0.45428	0.14254	0.10321	0.13335	0.59068	1.5184	0.63432	0.49242	0.61395
5.03	3.21	0.584	3.9785	64.045	19.627	3.4509	14.433	0.20337	0.81097	0.1259	0.12719	0.13881	0.83102	2.3902	0.49842	0.53425	0.6556
5.03	3.81	0.584	3.4288	78.68	11.594	3.833	13.13	0.20228	1.0142	0.11074	0.13049	0.23069	0.7837	2.9783	0.49218	0.60526	0.95628
5.03	4.41	0.584	2.8285	80.809	7.2329	4.0954	10.427	0.19659	1.0545	0.10141	0.13582	0.26286	0.79566	3.0907	0.35652	0.51907	0.89175
5.03	5.01	0.584	2.7951	70.993	5.2111	4.3121	8.502	0.17311	0.92244	0.080804	0.13902	0.24217	0.71296	3.1035	0.36811	0.57273	0.93779
5.03	2.01	0.584	6.1906	28.319	45.316	2.434	16.876	0.10586	0.34318	0.24065	0.095547	0.11512	0.39914	1.0829	1.0328	0.36786	0.53212
